subject_ID,fit,task,human,human_draws,n_games,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,gap_full
75,combined,C-EXT-RPHC-UK,1.0625,5.39375,160,1.44375,6.53125,0.85625,0.01875,0.3812500000000001
13,short,SB-XT-RPh----,0.775,4.1,80,1.125,3.9,0.775,0.025,0.35
13,long,LBE-T-RPhCL--,1.05,5.9125,80,1.6625,9.1625,0.9125,0.0125,0.6125
13,combined,C-EXT-RPHC-UK,0.9125,5.00625,160,1.39375,6.525,0.84375,0.01875,0.48125000000000007
29,short,SB-XT-RPh----,0.8125,4.0125,80,1.225,3.95,0.8,0.025,0.4125000000000001
29,long,LBE-T-RPhCL--,0.9625,7.3875,80,1.6125,9.25,0.9,0.0125,0.65
29,combined,C-EXT-RPHC-UK,0.8875,5.7,160,1.41875,6.55,0.85,0.01875,0.53125
46,short,SB-XT-RPh----,0.8,4.3625,80,1.325,3.9125,0.825,0.025,0.5249999999999999
46,long,LBE-T-RPhCL--,1.1,6.15,80,1.5625,9.225,0.8875,0.0125,0.4624999999999999
46,combined,C-EXT-RPHC-UK,0.95,5.25625,160,1.44375,6.5625,0.85625,0.01875,0.49375000000000013
52,short,SB-XT-RPh----,0.9375,3.725,80,1.125,3.975,0.775,0.025,0.1875
52,long,LBE-T-RPhCL--,1.1125,5.25,80,1.6125,9.1,0.9,0.0125,0.5
52,combined,C-EXT-RPHC-UK,1.025,4.4875,160,1.36875,6.54375,0.8375,0.01875,0.34375
67,short,SB-XT-RPh----,0.975,3.6,80,1.275,3.9625,0.8125,0.025,0.29999999999999993
67,long,LBE-T-RPhCL--,1.05,5.8,80,1.6625,8.9625,0.9125,0.0125,0.6125
67,combined,C-EXT-RPHC-UK,1.0125,4.7,160,1.46875,6.61875,0.8625,0.01875,0.45625000000000004
105,short,SB-XT-RPh----,1.075,3.95,80,1.225,4.025,0.8,0.025,0.15000000000000013
105,long,LBE-T-RPhCL--,0.8625,6.6625,80,1.6625,9.0875,0.9125,0.0125,0.8
105,combined,C-EXT-RPHC-UK,0.96875,5.30625,160,1.44375,6.5875,0.85625,0.01875,0.4750000000000001
101,short,SB-XT-RPh----,0.6625,4.35,80,1.175,3.9625,0.7875,0.025,0.5125000000000001
101,long,LBE-T-RPhCL--,1.25,7.2875,80,1.6625,8.975,0.9125,0.0125,0.4125000000000001
101,combined,C-EXT-RPHC-UK,0.95625,5.81875,160,1.41875,6.55,0.85,0.01875,0.4624999999999999
61,short,SB-XT-RPh----,1.2375,3.8875,80,1.125,3.9625,0.775,0.025,-0.11250000000000004
61,long,LBE-T-RPhCL--,1.35,7.325,80,1.6625,9.15,0.9125,0.0125,0.3125
61,combined,C-EXT-RPHC-UK,1.29375,5.60625,160,1.39375,6.525,0.84375,0.01875,0.10000000000000009
