subject_ID,fit,horizon,n_games,uniform_reward,informed_reward,uniform_draws,informed_draws,uniform_correct,informed_correct,uniform_missed,informed_missed
96,long,long,80,1.6625,1.6625,8.8875,9.2375,0.9125,0.9125,0.0125,0.0125
98,long,long,80,1.6625,1.6625,9.025,9.0125,0.9125,0.9125,0.0125,0.0125
97,long,long,80,1.6625,1.6625,8.9125,9.3125,0.9125,0.9125,0.0125,0.0125
79,long,long,80,1.6125,1.6125,9.0625,9.2625,0.9,0.9,0.0125,0.0125
58,long,long,80,1.6625,1.6625,9.05,9.05,0.9125,0.9125,0.0125,0.0125
9,long,long,80,1.6125,1.6125,9.1375,9.075,0.9,0.9,0.0125,0.0125
35,long,long,80,1.6625,1.6625,8.9875,9.1875,0.9125,0.9125,0.0125,0.0125
92,long,long,80,1.6625,1.6625,8.95,9.0375,0.9125,0.9125,0.0125,0.0125
42,long,long,80,1.6625,1.6625,9.1125,9.1,0.9125,0.9125,0.0125,0.0125
40,long,long,80,1.6625,1.6625,8.9375,9.025,0.9125,0.9125,0.0125,0.0125
50,long,long,80,1.6625,1.6625,8.925,9.1625,0.9125,0.9125,0.0125,0.0125
30,long,long,80,1.6625,1.6625,8.9875,9.25,0.9125,0.9125,0.0125,0.0125
85,long,long,80,1.6625,1.6625,9.125,9.0875,0.9125,0.9125,0.0125,0.0125
57,long,long,80,1.6625,1.6625,8.9,9.2125,0.9125,0.9125,0.0125,0.0125
95,long,long,80,1.6625,1.6625,9.0875,9.2,0.9125,0.9125,0.0125,0.0125
21,long,long,80,1.6625,1.6625,8.875,8.9875,0.9125,0.9125,0.0125,0.0125
5,long,long,80,1.6125,1.6125,9.0875,9.1375,0.9,0.9,0.0125,0.0125
72,long,long,80,1.6625,1.6625,8.9625,9.1,0.9125,0.9125,0.0125,0.0125
22,long,long,80,1.6625,1.6625,8.9,9.1125,0.9125,0.9125,0.0125,0.0125
87,long,long,80,1.7125,1.7125,9.2875,9.1375,0.925,0.925,0.0125,0.0125
3,long,long,80,1.5625,1.5625,8.8,8.925,0.8875,0.8875,0.0125,0.0125
15,long,long,80,1.6625,1.6625,9.0125,9.1875,0.9125,0.9125,0.0125,0.0125
60,long,long,80,1.6625,1.6625,9.1125,9.0625,0.9125,0.9125,0.0125,0.0125
16,long,long,80,1.6125,1.6125,8.9125,9.075,0.9,0.9,0.0125,0.0125
11,long,long,80,1.6625,1.6625,9.075,9.1875,0.9125,0.9125,0.0125,0.0125
83,long,long,80,1.6125,1.6125,8.95,9.1125,0.9,0.9,0.0125,0.0125
66,long,long,80,1.6625,1.6625,8.9875,9.15,0.9125,0.9125,0.0125,0.0125
25,long,long,80,1.6125,1.6125,9.1375,9.225,0.9,0.9,0.0125,0.0125
2,long,long,80,1.6625,1.6625,9.1125,9.1,0.9125,0.9125,0.0125,0.0125
91,long,long,80,1.6125,1.6125,8.9,9.2,0.9,0.9,0.0125,0.0125
19,long,long,80,1.6625,1.6625,9.0125,9.0375,0.9125,0.9125,0.0125,0.0125
90,long,long,80,1.6625,1.6625,9.15,9.1125,0.9125,0.9125,0.0125,0.0125
69,long,long,80,1.6625,1.6625,8.9375,9.05,0.9125,0.9125,0.0125,0.0125
31,long,long,80,1.6625,1.6625,9.1625,9.3,0.9125,0.9125,0.0125,0.0125
6,long,long,80,1.6625,1.6625,9.1625,9.0875,0.9125,0.9125,0.0125,0.0125
62,long,long,80,1.6625,1.6625,9.1125,9.0125,0.9125,0.9125,0.0125,0.0125
59,long,long,80,1.6625,1.6625,9.125,9.175,0.9125,0.9125,0.0125,0.0125
36,long,long,80,1.6625,1.6625,9.05,9.2375,0.9125,0.9125,0.0125,0.0125
94,long,long,80,1.6625,1.6625,8.825,9.225,0.9125,0.9125,0.0125,0.0125
102,long,long,80,1.6625,1.6625,8.8875,9.2125,0.9125,0.9125,0.0125,0.0125
86,long,long,80,1.6625,1.6625,8.825,9.1,0.9125,0.9125,0.0125,0.0125
54,long,long,80,1.6125,1.6125,9.2125,9.15,0.9,0.9,0.0125,0.0125
23,long,long,80,1.6625,1.6625,9.0125,9.2375,0.9125,0.9125,0.0125,0.0125
88,long,long,80,1.6625,1.6625,9.1375,9.2625,0.9125,0.9125,0.0125,0.0125
64,long,long,80,1.6625,1.6625,8.9375,9.2,0.9125,0.9125,0.0125,0.0125
