subject_ID,fit,task,human,human_draws,n_games,fitted,fitted_draws,fitted_correct,fitted_missed,optimal_full,optimal_full_draws,optimal_full_correct,optimal_full_missed,normative_matched,normative_matched_draws,normative_matched_correct,normative_matched_missed,no_regulation,no_regulation_draws,no_regulation_correct,no_regulation_missed,no_belief_bias,no_belief_bias_draws,no_belief_bias_correct,no_belief_bias_missed,no_subjective_cost,no_subjective_cost_draws,no_subjective_cost_correct,no_subjective_cost_missed,no_exaggeration,no_exaggeration_draws,no_exaggeration_correct,no_exaggeration_missed,no_hazard_lapse,no_hazard_lapse_draws,no_hazard_lapse_correct,no_hazard_lapse_missed,gap_full,gap_matched,model_error
70,long,LBE-T-RPhCL--,1.2,6.9875,80,1.2075,6.9125,0.79125,0.0425,1.6625,8.9625,0.9125,0.0125,0.005,1.499375,0.50125,0.0,0.921875,3.31375,0.719375,0.044375,1.170625,6.974375,0.779375,0.053125,0.1,4.866875,0.525,0.0,1.19125,7.440625,0.774375,0.09375,1.1825,6.110625,0.789375,0.025,0.46250000000000013,-1.195,0.007500000000000062
70,combined,C-EXT-RPHC-UK,1.04375,5.64375,160,1.09625,5.663749999999999,0.7490625,0.1,1.46875,6.4625,0.8625,0.01875,0.8328125,2.57625,0.7065625,0.006562500000000001,0.9678125000000002,2.9321875,0.7375,0.017812500000000002,,,,,1.084375,5.2934375000000005,0.7559374999999999,0.060625000000000005,1.0815625,5.655624999999999,0.7465624999999999,0.0953125,,,,,0.42500000000000004,-0.2109375,0.05249999999999999
44,short,SB-XT-RPh----,0.825,3.725,80,0.54625,3.7625,0.625,0.04625,1.125,3.9625,0.775,0.025,0.05500000000000001,1.5125,0.513125,0.0025,0.335,1.81375,0.5725,0.045,0.52875,3.7662500000000003,0.621875,0.04125,0.081875,3.7106249999999994,0.515,0.021875,,,,,,,,,0.30000000000000004,-0.7699999999999999,-0.27874999999999994
44,long,LBE-T-RPhCL--,0.7125,7.2,80,1.08625,7.180625000000001,0.77125,0.00125,1.6125,9.0375,0.9,0.0125,0.15,1.52125,0.5375,0.0,0.71875,2.668125,0.6775,0.00875,1.18,7.219375000000001,0.795,0.0,0.198125,5.7325,0.549375,0.000625,1.103125,7.3075,0.775,0.003125,1.098125,6.660624999999999,0.774375,0.000625,0.9,-0.5625,0.3737499999999999
44,combined,C-EXT-RPHC-UK,0.76875,5.4625,160,0.8693750000000001,5.471875,0.7037500000000001,0.05437500000000001,1.36875,6.55625,0.8375,0.01875,0.755,2.3009375,0.6878124999999999,0.00375,0.6634375,2.3371875,0.665,0.0034375000000000005,,,,,0.883125,5.5128125,0.7068749999999999,0.055625,0.8731249999999999,5.5059375,0.7025,0.06312500000000001,,,,,0.5999999999999999,-0.01375000000000004,0.10062500000000008
14,short,SB-XT-RPh----,0.975,4.1125,80,0.713125,4.1875,0.625,0.213125,1.325,3.9,0.825,0.025,0.095,1.47625,0.52375,0.0,0.60375,2.905,0.606875,0.17625,0.776875,4.17625,0.649375,0.179375,-0.028750000000000005,3.518125,0.485,0.03125,,,,,,,,,0.35,-0.88,-0.26187499999999997
14,long,LBE-T-RPhCL--,0.975,8.3875,80,1.16125,8.35375,0.77625,0.05625,1.6625,9.15,0.9125,0.0125,0.175,1.5325,0.54375,0.0,0.83125,2.876875,0.703125,0.01875,1.141875,8.30625,0.7675,0.071875,0.28625,4.93625,0.57125,0.00125,1.18125,8.554375,0.77875,0.06625,1.0675,9.585625,0.735625,0.125,0.6875000000000001,-0.8,0.18624999999999992
14,combined,C-EXT-RPHC-UK,0.975,6.25,160,0.99375,6.0893749999999995,0.7228125000000001,0.1025,1.49375,6.4625,0.86875,0.01875,0.7840624999999999,2.3075,0.6946875,0.0053125,0.875625,2.53125,0.7153125,0.014374999999999999,,,,,0.97,5.9946874999999995,0.723125,0.0775,0.985,6.229375,0.71875,0.11000000000000001,,,,,0.5187499999999999,-0.1909375000000001,0.018750000000000044
78,short,SB-XT-RPh----,1.0,4.55,80,0.846875,4.47375,0.673125,0.154375,1.225,3.8625,0.8,0.025,0.125625,1.5,0.530625,0.003125,0.67625,2.573125,0.640625,0.11374999999999999,0.834375,4.490625,0.67125,0.149375,0.1725,4.195,0.526875,0.065,,,,,,,,,0.2250000000000001,-0.874375,-0.15312499999999996
78,long,LBE-T-RPhCL--,0.925,9.375,80,0.9981250000000002,9.409375,0.733125,0.065625,1.6625,9.05,0.9125,0.0125,0.045,1.5275,0.51125,0.0,0.71625,2.1625,0.67875,0.00125,1.045625,9.371875,0.746875,0.058125,0.305,8.353125,0.571875,0.0175,1.079375,9.44375,0.7525,0.069375,0.90625,9.95625,0.703125,0.09375,0.7375,-0.88,0.0731250000000001
