fit,subject_ID,seed,human,model,n_games
short,44,12,66.0,50.0,80
short,44,13,66.0,57.0,80
short,44,14,66.0,37.0,80
short,44,15,66.0,40.0,80
short,44,16,66.0,55.0,80
short,44,17,66.0,32.0,80
short,44,18,66.0,45.0,80
short,44,19,66.0,27.0,80
short,44,20,66.0,22.0,80
short,44,21,66.0,-1.0,80
short,44,22,66.0,63.0,80
short,44,23,66.0,43.0,80
short,44,24,66.0,31.0,80
short,44,25,66.0,56.0,80
short,44,26,66.0,21.0,80
short,44,27,66.0,60.0,80
short,44,28,66.0,58.0,80
short,44,29,66.0,25.0,80
short,44,30,66.0,22.0,80
short,44,31,66.0,60.0,80
short,44,32,66.0,10.0,80
short,44,33,66.0,27.0,80
short,44,34,66.0,50.0,80
short,44,35,66.0,33.0,80
short,44,36,66.0,34.0,80
short,44,37,66.0,29.0,80
short,44,38,66.0,39.0,80
short,44,39,66.0,20.0,80
short,44,40,66.0,57.0,80
short,44,41,66.0,64.0,80
short,44,42,66.0,17.0,80
short,44,43,66.0,14.0,80
short,44,44,66.0,82.0,80
short,44,45,66.0,42.0,80
short,44,46,66.0,46.0,80
short,44,47,66.0,36.0,80
short,44,48,66.0,-10.0,80
short,44,49,66.0,60.0,80
short,14,0,78.0,56.0,80
short,14,1,78.0,45.0,80
short,14,2,78.0,71.0,80
short,14,3,78.0,66.0,80
short,14,4,78.0,77.0,80
short,14,5,78.0,52.0,80
short,14,6,78.0,70.0,80
short,14,7,78.0,63.0,80
short,14,8,78.0,65.0,80
short,14,9,78.0,52.0,80
short,14,10,78.0,86.0,80
short,14,11,78.0,69.0,80
short,14,12,78.0,76.0,80
short,14,13,78.0,28.0,80
short,14,14,78.0,77.0,80
short,14,15,78.0,52.0,80
short,14,16,78.0,72.0,80
short,14,17,78.0,50.0,80
short,14,18,78.0,56.0,80
short,14,19,78.0,62.0,80
short,14,20,78.0,57.0,80
short,14,21,78.0,55.0,80
short,14,22,78.0,71.0,80
short,14,23,78.0,61.0,80
short,14,24,78.0,57.0,80
short,14,25,78.0,60.0,80
short,14,26,78.0,68.0,80
short,14,27,78.0,70.0,80
short,14,28,78.0,83.0,80
short,14,29,78.0,60.0,80
short,14,30,78.0,66.0,80
short,14,31,78.0,71.0,80
short,14,32,78.0,64.0,80
short,14,33,78.0,43.0,80
short,14,34,78.0,58.0,80
short,14,35,78.0,64.0,80
short,14,36,78.0,72.0,80
short,14,37,78.0,63.0,80
short,14,38,78.0,45.0,80
short,14,39,78.0,35.0,80
short,14,40,78.0,61.0,80
short,14,41,78.0,68.0,80
short,14,42,78.0,64.0,80
short,14,43,78.0,73.0,80
short,14,44,78.0,44.0,80
short,14,45,78.0,54.0,80
short,14,46,78.0,72.0,80
short,14,47,78.0,43.0,80
short,14,48,78.0,72.0,80
short,14,49,78.0,56.0,80
short,78,0,80.0,62.0,80
short,78,1,80.0,54.0,80
short,78,2,80.0,66.0,80
short,78,3,80.0,59.0,80
short,78,4,80.0,61.0,80
short,78,5,80.0,66.0,80
short,78,6,80.0,72.0,80
short,78,7,80.0,67.0,80
short,78,8,80.0,80.0,80
short,78,9,80.0,90.0,80
short,78,10,80.0,56.0,80
short,78,11,80.0,74.0,80
short,78,12,80.0,75.0,80
short,78,13,80.0,61.0,80
short,78,14,80.0,54.0,80
short,78,15,80.0,71.0,80
short,78,16,80.0,62.0,80
short,78,17,80.0,71.0,80
short,78,18,80.0,70.0,80
short,78,19,80.0,64.0,80
short,78,20,80.0,56.0,80
short,78,21,80.0,69.0,80
short,78,22,80.0,54.0,80
short,78,23,80.0,59.0,80
short,78,24,80.0,47.0,80
short,78,25,80.0,88.0,80
short,78,26,80.0,56.0,80
short,78,27,80.0,84.0,80
short,78,28,80.0,70.0,80
short,78,29,80.0,95.0,80
short,78,30,80.0,59.0,80
short,78,31,80.0,70.0,80
short,78,32,80.0,69.0,80
short,78,33,80.0,72.0,80
short,78,34,80.0,87.0,80
short,78,35,80.0,58.0,80
short,78,36,80.0,60.0,80
short,78,37,80.0,45.0,80
short,78,38,80.0,64.0,80
short,78,39,80.0,66.0,80
short,78,40,80.0,47.0,80
short,78,41,80.0,65.0,80
short,78,42,80.0,65.0,80
short,78,43,80.0,69.0,80
short,78,44,80.0,66.0,80
short,78,45,80.0,48.0,80
short,78,46,80.0,56.0,80
short,78,47,80.0,82.0,80
short,78,48,80.0,80.0,80
short,78,49,80.0,81.0,80
short,84,0,63.0,72.0,80
short,84,1,63.0,59.0,80
short,84,2,63.0,64.0,80
short,84,3,63.0,82.0,80
short,84,4,63.0,93.0,80
short,84,5,63.0,66.0,80
short,84,6,63.0,76.0,80
short,84,7,63.0,71.0,80
short,84,8,63.0,82.0,80
short,84,9,63.0,75.0,80
short,84,10,63.0,74.0,80
short,84,11,63.0,73.0,80
short,84,12,63.0,76.0,80
short,84,13,63.0,71.0,80
short,84,14,63.0,58.0,80
short,84,15,63.0,82.0,80
short,84,16,63.0,55.0,80
short,84,17,63.0,67.0,80
short,84,18,63.0,72.0,80
short,84,19,63.0,84.0,80
short,84,20,63.0,86.0,80
short,84,21,63.0,71.0,80
short,84,22,63.0,75.0,80
short,84,23,63.0,80.0,80
short,84,24,63.0,58.0,80
short,84,25,63.0,82.0,80
short,84,26,63.0,71.0,80
short,84,27,63.0,95.0,80
short,84,28,63.0,80.0,80
short,84,29,63.0,83.0,80
short,84,30,63.0,68.0,80
short,84,31,63.0,69.0,80
short,84,32,63.0,83.0,80
short,84,33,63.0,74.0,80
